Y;X1;X2;X3;X4;X5;X6;X7
Display;cor_sales_in_vol;cor_sales_in_val;CA_mag;value;ENSEIGNE;VenteConv;Feature
No_Displ;2;20.2;47400;36;CORA;72;No_Feat
No_Displ;2;11.9;62000;24;LECLERC;48;No_Feat
No_Displ;8;29.52;60661;60;AUCHAN;480;No_Feat
No_Displ;2;16.2;59677;19;CARREFOUR;38;No_Feat
No_Displ;5;62.1;142602;50;CORA;250;No_Feat
No_Displ;1;9.99;5091;19;CASINO;19;No_Feat
No_Displ;2;15.94;50366;40;LECLERC;80;No_Feat
No_Displ;6;11.34;8419;1;CASINO;6;No_Feat
No_Displ;4;46.2;125026;30;CARREFOUR;120;No_Feat
No_Displ;30;138;119898;27;CARREFOUR;810;No_Feat
No_Displ;1;11.94;81667;32;CORA;32;No_Feat
No_Displ;1;9.63;57349;28;CASINO;28;No_Feat
No_Displ;1;16.38;270331;57;AUCHAN;57;No_Feat
No_Displ;1;8.21;11500;40;SUPER U;40;No_Feat
No_Displ;5;30.8;51287;21;LECLERC;105;No_Feat
No_Displ;1;8.95;74431;19;GEANT;19;No_Feat
No_Displ;3;19.11;88551;24;CORA;72;No_Feat
No_Displ;1;9.36;52602;40;CORA;40;No_Feat
No_Displ;33;127.05;105628;26;AUCHAN;858;No_Feat
No_Displ;1;14.39;37845;50;LECLERC;50;No_Feat
No_Displ;11;126.65;81022;30;CARREFOUR;330;No_Feat
No_Displ;1;13.35;160873;30;CARREFOUR;30;No_Feat
No_Displ;3;23.97;62473;32;LECLERC;96;No_Feat
No_Displ;1;7.72;142602;26;CORA;26;No_Feat
No_Displ;1;8.05;17801;30;CARREFOUR MARKET;30;No_Feat
No_Displ;1;7.72;109503;28;LECLERC;28;No_Feat
No_Displ;2;15.34;160873;25;CARREFOUR;50;No_Feat
No_Displ;4;119.96;136485;160;AUCHAN;640;No_Feat
No_Displ;7;209.93;261640;160;AUCHAN;1120;No_Feat
No_Displ;2;13.12;45170;26;LECLERC;52;No_Feat
No_Displ;1;8.64;4171;25;FRANPRIX;25;No_Feat
No_Displ;3;21.6;131098;27;LECLERC;81;No_Feat
No_Displ;3;4.65;54535;5;CORA;15;No_Feat
No_Displ;5;15.45;97809;25;CORA;125;No_Feat
No_Displ;3;9.78;51287;16;LECLERC;48;No_Feat
No_Displ;15;23.4;73615;1;LECLERC;15;No_Feat
No_Displ;4;20.04;25126;27;INTERMARCHE;108;No_Feat
No_Displ;2;12.96;125026;25;CARREFOUR;50;No_Feat
No_Displ;3;26.61;20086;40;LECLERC;120;No_Feat
No_Displ;3;27;22851;20;INTERMARCHE;60;No_Feat
No_Displ;1;6.42;9756;25;CASINO;25;No_Feat
No_Displ;2;14.44;3069;40;ECOMARCHE;80;No_Feat
No_Displ;1;14.99;59069;38;CASINO;38;No_Feat
No_Displ;1;6.22;7143;25;FRANPRIX;25;No_Feat
No_Displ;26;129.22;270331;25;AUCHAN;650;No_Feat
No_Displ;3;74.97;44683;70;LECLERC;210;No_Feat
No_Displ;7;83.51;13465;30;INTERMARCHE;210;Feat
No_Displ;6;63.21;78819;40;CORA;240;No_Feat
No_Displ;1;9.73;19266;32;INTERMARCHE;32;Feat
